"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1721612467.001,465,453,625,535,370,814,333,494,478,527,513,420,403,582,633,442,339,342,332,388,430,311,311,312,455,-19.0,26.0,18.0,0.0610351525247097,-3.112792730331421,-0.7324218153953552,0.03515625,0.883544921875,-0.445556640625
1721612467.012,465,452,629,535,365,811,332,496,478,527,513,417,403,582,633,441,338,342,332,389,430,311,311,312,455,-19.0,26.0,18.0,-0.3662109076976776,-5.615233898162842,-0.4272460639476776,0.05322265625,0.8814697265625,-0.435302734375
1721612467.021,465,451,625,535,365,814,333,494,478,523,513,417,402,582,636,441,338,343,332,388,426,311,310,311,455,-19.0,26.0,18.0,-0.8544921278953552,-6.042479991912842,-0.0610351525247097,0.069091796875,0.877685546875,-0.4296875
1721612467.031,465,453,629,535,369,814,336,494,479,526,513,417,403,582,644,440,338,344,332,388,425,311,311,312,456,-19.0,26.0,18.0,-1.03759765625,-4.39453125,0.2441406100988388,0.0810546875,0.874267578125,-0.4283447265625
1721612467.041,463,450,625,535,370,814,334,494,479,527,514,417,402,582,645,438,337,341,332,388,426,311,311,311,456,-19.0,26.0,18.0,-0.9155272841453552,-1.4648436307907104,0.6103515625,0.0855712890625,0.8712158203125,-0.4312744140625
1721612467.051,465,451,627,533,370,814,333,494,479,523,516,415,402,582,645,439,336,339,333,388,425,311,311,311,456,-19.0,26.0,18.0,-0.4272460639476776,1.7700194120407104,1.15966796875,0.0772705078125,0.868896484375,-0.4390869140625
1721612467.061,465,453,625,535,370,814,333,493,481,526,517,415,403,579,646,439,338,338,330,390,424,311,311,311,457,-19.0,26.0,18.0,0.1831054538488388,4.57763671875,1.7089842557907104,0.0577392578125,0.867919921875,-0.449462890625
1721612467.071,465,453,624,533,365,814,333,493,481,526,515,418,403,579,647,439,338,337,331,390,425,312,311,311,457,-19.0,26.0,18.0,0.6103515625,6.042479991912842,1.8310545682907104,0.037353515625,0.8665771484375,-0.4580078125
1721612467.081,465,451,624,533,365,814,332,493,481,523,515,417,402,582,647,440,338,337,332,390,424,311,312,311,458,-19.0,26.0,18.0,0.7934569716453552,5.615233898162842,1.220703125,0.0272216796875,0.8656005859375,-0.4615478515625
1721612467.091,465,453,625,535,370,815,333,494,479,526,517,420,402,582,647,440,338,336,332,390,420,312,311,312,458,-19.0,26.0,18.0,0.9155272841453552,3.723144292831421,0.4882812201976776,0.0284423828125,0.86669921875,-0.45947265625
1721612467.101,465,453,625,535,370,815,334,493,479,527,517,419,402,582,647,445,337,339,331,390,418,311,312,312,463,-18.0,29.0,21.0,0.9765624403953552,1.4038084745407104,0.1831054538488388,0.0341796875,0.8675537109375,-0.4556884765625
1721612467.111,465,451,625,535,370,814,336,493,479,527,517,420,402,582,648,441,336,337,333,390,420,311,311,312,463,-18.0,29.0,21.0,0.9765624403953552,-0.7934569716453552,0.54931640625,0.0401611328125,0.8682861328125,-0.454833984375
1721612467.121,465,453,625,535,370,815,333,493,480,527,518,420,402,582,648,442,336,338,334,391,418,312,311,312,463,-18.0,29.0,21.0,0.9765624403953552,-2.624511480331421,1.220703125,0.0455322265625,0.8704833984375,-0.4556884765625
1721612467.131,465,450,625,535,370,815,332,493,479,527,517,423,403,582,647,440,336,337,332,391,420,316,311,311,465,-18.0,29.0,21.0,0.9765624403953552,-3.662109136581421,1.8310545682907104,0.048583984375,0.8741455078125,-0.4556884765625
1721612467.141,465,451,625,535,370,814,332,493,479,527,517,425,403,582,645,440,336,336,333,389,418,312,311,312,465,-18.0,29.0,21.0,1.03759765625,-3.723144292831421,2.13623046875,0.0496826171875,0.8779296875,-0.455322265625
1721612467.151,465,452,625,533,370,815,336,493,480,527,517,425,403,582,646,438,336,331,332,390,420,311,311,312,465,-18.0,29.0,21.0,1.0986328125,-2.929687261581421,2.01416015625,0.0511474609375,0.8790283203125,-0.4560546875
1721612467.161,465,452,624,533,365,814,333,493,480,527,517,426,403,582,647,438,336,334,332,390,418,315,312,311,465,-18.0,29.0,21.0,1.0986328125,-1.7089842557907104,1.6479490995407104,0.054931640625,0.875732421875,-0.4583740234375
1721612467.171,455,453,625,533,365,815,334,493,481,526,515,425,402,582,647,438,336,336,332,390,418,312,312,312,465,-18.0,29.0,21.0,1.03759765625,-0.30517578125,1.4038084745407104,0.0592041015625,0.8685302734375,-0.4615478515625
1721612467.181,465,452,625,535,370,815,333,491,481,526,516,423,403,582,647,442,336,337,333,390,419,309,312,312,467,-18.0,29.0,21.0,1.0986328125,1.0986328125,1.4038084745407104,0.0584716796875,0.8616943359375,-0.4676513671875
1721612467.191,465,451,625,533,370,815,336,493,479,527,517,423,403,579,647,439,336,338,334,390,420,313,311,312,466,-18.0,29.0,21.0,1.15966796875,2.25830078125,1.7700194120407104,0.0506591796875,0.859375,-0.4744873046875
1721612467.201,465,452,625,535,365,815,330,493,479,527,517,418,402,579,647,439,336,337,334,391,418,317,311,312,467,-18.0,24.0,19.0,1.15966796875,2.50244140625,2.44140625,0.0390625,0.8642578125,-0.4775390625
1721612467.211,465,453,625,533,370,815,333,493,481,526,517,423,403,577,648,439,336,336,334,391,416,316,312,312,467,-18.0,24.0,19.0,1.03759765625,1.5258787870407104,3.112792730331421,0.0330810546875,0.8748779296875,-0.476806640625
1721612467.221,465,452,628,533,365,802,332,493,481,527,515,425,403,579,648,439,334,332,332,391,415,317,312,312,467,-18.0,24.0,19.0,0.7324218153953552,-0.4272460639476776,3.417968511581421,0.038330078125,0.8818359375,-0.4735107421875
1721612467.231,463,451,625,535,365,815,332,494,482,527,515,421,403,578,647,439,334,336,333,393,416,319,311,314,469,-18.0,24.0,19.0,0.3662109076976776,-2.25830078125,3.051757574081421,0.0513916015625,0.8804931640625,-0.4697265625
1721612467.241,465,453,629,533,369,815,333,491,481,527,515,425,402,577,645,439,334,336,334,391,415,318,311,312,468,-18.0,24.0,19.0,0.1831054538488388,-2.868652105331421,2.13623046875,0.06640625,0.87451171875,-0.4652099609375
1721612467.251,463,450,625,533,369,815,333,491,481,529,515,423,402,579,644,439,334,336,332,390,415,322,312,311,469,-18.0,24.0,19.0,0.30517578125,-2.13623046875,1.15966796875,0.077880859375,0.8660888671875,-0.4613037109375
1721612467.261,463,453,625,533,365,815,332,493,481,529,513,423,402,579,644,439,334,334,333,394,416,321,312,312,469,-18.0,24.0,19.0,0.6103515625,-0.7324218153953552,0.54931640625,0.0792236328125,0.857666015625,-0.4637451171875
1721612467.271,462,454,625,533,370,816,330,493,481,529,513,423,402,576,645,439,334,332,334,391,416,321,312,311,467,-18.0,24.0,19.0,1.03759765625,0.4882812201976776,0.30517578125,0.0679931640625,0.8538818359375,-0.4730224609375
1721612467.281,462,452,625,533,365,815,326,493,481,529,513,425,403,577,644,441,334,326,334,395,418,322,311,312,467,-18.0,24.0,19.0,1.5258787870407104,1.15966796875,0.30517578125,0.05078125,0.8568115234375,-0.484375
1721612467.291,461,451,625,535,370,815,332,490,479,529,513,423,402,574,638,440,336,332,334,391,418,322,314,311,467,-20.0,26.0,17.0,1.8920897245407104,0.7934569716453552,0.1220703050494194,0.0382080078125,0.8636474609375,-0.4892578125
1721612467.301,462,451,625,533,370,815,334,491,479,527,513,425,402,574,638,442,334,333,333,393,417,322,312,309,467,-20.0,26.0,17.0,1.9531248807907104,-0.8544921278953552,-0.1220703050494194,0.0379638671875,0.8699951171875,-0.484375
1721612467.311,462,450,625,533,365,815,332,494,480,529,515,426,403,574,644,441,334,334,334,393,416,322,312,311,469,-20.0,26.0,17.0,1.6479490995407104,-2.990722417831421,-0.30517578125,0.0489501953125,0.8724365234375,-0.4747314453125
1721612467.321,461,451,625,535,365,815,333,491,481,527,514,424,402,575,645,440,338,334,332,393,415,322,311,312,469,-20.0,26.0,17.0,1.15966796875,-4.39453125,-0.1831054538488388,0.0625,0.8702392578125,-0.4638671875
1721612467.331,461,451,624,533,369,815,334,493,481,527,515,428,402,574,645,439,336,333,332,394,415,321,312,311,469,-20.0,26.0,17.0,0.6713866591453552,-4.2724609375,0.1220703050494194,0.0712890625,0.86572265625,-0.455322265625
1721612467.341,461,453,625,535,365,815,331,493,481,529,517,425,403,577,646,445,334,334,333,393,415,321,313,311,469,-20.0,26.0,17.0,0.3662109076976776,-2.746581792831421,0.4272460639476776,0.0728759765625,0.8629150390625,-0.453369140625
1721612467.351,458,452,625,535,370,815,334,494,482,527,515,424,402,577,644,442,334,334,332,394,414,319,313,312,469,-20.0,26.0,17.0,0.2441406100988388,-0.30517578125,0.7324218153953552,0.05322265625,0.8707275390625,-0.4664306640625
1721612467.361,462,452,628,533,365,815,334,490,481,529,516,423,402,582,645,442,338,333,334,395,417,322,313,312,469,-20.0,26.0,17.0,0.30517578125,3.662109136581421,0.7934569716453552,0.05322265625,0.8707275390625,-0.4664306640625
1721612467.371,463,451,629,533,367,815,332,494,482,529,514,426,403,582,647,440,338,334,332,393,417,322,312,312,469,-20.0,26.0,17.0,0.30517578125,3.662109136581421,0.7934569716453552,0.0389404296875,0.8746337890625,-0.471923828125
1721612467.381,461,451,631,533,369,815,333,493,482,530,515,425,403,579,647,439,339,334,334,394,413,322,309,312,469,-20.0,26.0,17.0,0.1831054538488388,3.601073980331421,0.6713866591453552,0.0318603515625,0.8765869140625,-0.469970703125
1721612467.391,462,453,631,535,367,814,330,493,482,529,515,426,402,580,647,442,338,333,334,395,414,322,316,312,469,-20.0,26.0,17.0,-0.30517578125,0.4272460639476776,0.2441406100988388,0.0318603515625,0.8765869140625,-0.469970703125
1721612467.401,462,452,629,533,367,814,326,493,482,530,515,426,403,579,647,441,340,333,334,394,413,321,316,311,467,-19.0,26.0,21.0,-0.30517578125,0.4272460639476776,0.2441406100988388,0.037841796875,0.8740234375,-0.4666748046875
