"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1721633734.341,310,311,310,310,310,311,311,311,311,305,310,310,311,311,311,311,310,311,311,311,311,311,310,312,312,313,311,313,311,311,310,309,310,310,310,-25.0,4.0,-30.0,-0.1220703050494194,0.0,-0.1831054538488388,-0.0162353515625,0.98779296875,-0.020263671875
1721633734.351,310,310,310,310,310,310,310,311,310,310,311,311,312,311,310,312,311,311,311,310,311,310,311,311,311,313,312,311,311,312,310,310,310,309,309,-25.0,4.0,-30.0,-0.1831054538488388,0.0,-0.1831054538488388,-0.0166015625,0.98828125,-0.019775390625
1721633734.361,310,310,311,310,310,310,311,313,311,311,311,311,311,311,311,311,311,311,311,312,311,311,312,310,310,313,312,312,312,313,310,309,309,310,310,-25.0,4.0,-30.0,-0.1220703050494194,0.0,-0.1831054538488388,-0.0162353515625,0.9886474609375,-0.019287109375
1721633734.371,311,311,310,310,310,311,312,310,312,312,311,311,311,312,311,311,311,311,310,312,311,311,310,312,311,311,313,312,313,311,310,310,310,310,310,-30.0,4.0,-23.0,-0.1220703050494194,0.0,-0.1831054538488388,-0.015869140625,0.9881591796875,-0.0189208984375
1721633734.382,310,311,310,311,310,311,312,311,311,311,310,310,311,311,311,310,311,311,311,311,311,312,312,311,312,311,311,312,313,312,310,310,309,311,310,-30.0,4.0,-23.0,-0.0610351525247097,0.0,-0.1831054538488388,-0.0157470703125,0.9874267578125,-0.01904296875
1721633734.391,310,310,311,310,310,311,311,311,311,311,311,310,311,311,311,311,311,311,312,311,311,311,311,311,311,313,312,312,313,313,309,309,308,310,310,-30.0,4.0,-23.0,-0.0610351525247097,-0.0610351525247097,-0.2441406100988388,-0.0155029296875,0.988037109375,-0.0196533203125
1721633734.401,310,310,311,310,311,311,311,311,311,312,311,311,311,310,311,311,311,311,311,312,311,311,311,310,311,313,313,311,311,311,310,311,310,310,309,-30.0,4.0,-23.0,-0.0610351525247097,-0.0610351525247097,-0.2441406100988388,-0.0155029296875,0.9892578125,-0.0198974609375
1721633734.411,311,311,311,311,311,312,311,313,311,311,311,311,312,311,311,311,312,312,312,311,311,310,310,311,313,313,312,311,313,312,310,310,310,308,310,-30.0,4.0,-23.0,-0.0610351525247097,-0.0610351525247097,-0.2441406100988388,-0.015625,0.9892578125,-0.0189208984375
1721633734.421,310,311,310,309,311,311,311,311,311,313,311,311,311,311,311,312,311,311,311,311,311,311,311,311,311,311,310,313,311,312,308,310,310,311,310,-30.0,4.0,-23.0,-0.0610351525247097,0.0,-0.1831054538488388,-0.015625,0.988525390625,-0.0184326171875
1721633734.431,311,310,311,310,310,311,311,311,311,311,311,311,311,310,310,311,311,311,311,311,311,310,310,311,311,313,313,311,311,312,310,310,309,310,310,-30.0,4.0,-23.0,-0.0610351525247097,0.0,-0.1831054538488388,-0.0162353515625,0.9879150390625,-0.0189208984375
1721633734.441,310,311,310,310,311,311,311,311,311,311,311,312,310,311,311,311,311,311,311,313,311,311,311,311,312,313,311,312,311,311,310,310,309,310,310,-30.0,4.0,-23.0,-0.0610351525247097,0.0,-0.1831054538488388,-0.0167236328125,0.9879150390625,-0.0196533203125
1721633734.451,310,311,311,309,310,310,312,311,311,310,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,312,311,313,311,312,311,310,310,310,310,-30.0,4.0,-23.0,-0.1220703050494194,0.0,-0.2441406100988388,-0.0167236328125,0.98828125,-0.0201416015625
1721633734.461,310,311,310,310,311,312,312,310,310,311,311,311,311,312,311,312,312,310,311,310,311,312,311,311,311,311,313,313,313,313,310,310,310,310,310,-30.0,4.0,-23.0,-0.1220703050494194,0.0,-0.2441406100988388,-0.0164794921875,0.98876953125,-0.020263671875
1721633734.471,310,310,310,311,311,311,312,311,311,311,311,311,312,311,311,312,311,311,312,311,311,311,310,311,312,312,313,311,313,312,309,310,310,310,310,-29.0,6.0,-22.0,-0.1220703050494194,-0.0610351525247097,-0.1831054538488388,-0.0166015625,0.9891357421875,-0.0205078125
1721633734.481,310,310,310,310,311,310,312,311,311,311,310,311,310,311,312,310,312,311,311,311,312,311,311,312,310,312,311,313,312,312,310,310,309,310,310,-29.0,6.0,-22.0,-0.1220703050494194,-0.0610351525247097,-0.2441406100988388,-0.0164794921875,0.989013671875,-0.02099609375
1721633734.491,310,311,310,311,311,312,311,311,313,311,311,310,300,311,311,312,312,312,311,310,311,311,311,312,311,313,313,311,312,313,310,310,310,310,309,-29.0,6.0,-22.0,-0.1220703050494194,-0.0610351525247097,-0.2441406100988388,-0.0157470703125,0.98828125,-0.0206298828125
