Format Version,1.23,Take Name,Take 2024-06-23 04.06.32 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.06.33.427 PM,Capture Start Frame,35234,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,,,,,,,,,,,,,,,,,,,
,ID,574930B2D6312E11EF,574930B2D6312E11EF,574930B2D6312E11EF,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,,,,,,,,,,,,,,,,,,,
1,0.01,-5E-06,-2.1E-05,-1.9E-05,,,,,,,,,,,,,,,,,,,
2,0.02,4.2E-05,-6.1E-05,1E-06,,,,,,,,,,,,,,,,,,,
3,0.03,4.8E-05,-7.2E-05,1E-06,,,,,,,,,,,,,,,,,,,
4,0.04,6.9E-05,-7.5E-05,-9E-06,,,,,,,,,,,,,,,,,,,
5,0.05,0.000121,-0.000105,-9E-06,,,,,,,,,,,,,,,,,,,
6,0.06,0.000116,-9.5E-05,-5.6E-05,,,,,,,,,,,,,,,,,,,
7,0.07,0.00019,-0.000142,-6.4E-05,,,,,,,,,,,,,,,,,,,
8,0.08,0.000191,-0.000128,-7.3E-05,,,,,,,,,,,,,,,,,,,
9,0.09,0.00028,-0.000175,-5.4E-05,,,,,,,,,,,,,,,,,,,
10,0.1,0.000278,-0.00015,-9.9E-05,,,,,,,,,,,,,,,,,,,
11,0.11,0.0003,-0.000179,-9.7E-05,,,,,,,,,,,,,,,,,,,
12,0.12,0.000286,-0.000199,-0.000109,,,,,,,,,,,,,,,,,,,
13,0.13,0.000294,-0.000238,-0.000101,,,,,,,,,,,,,,,,,,,
14,0.14,0.000345,-0.000285,-0.00011,,,,,,,,,,,,,,,,,,,
15,0.15,0.000328,-0.000256,-0.000154,,,,,,,,,,,,,,,,,,,
16,0.16,0.000307,-0.000267,-0.000142,,,,,,,,,,,,,,,,,,,
17,0.17,0.000366,-0.000331,-0.000131,,,,,,,,,,,,,,,,,,,
18,0.18,0.000337,-0.000295,-0.000145,,,,,,,,,,,,,,,,,,,
19,0.19,0.000339,-0.000275,-0.000135,,,,,,,,,,,,,,,,,,,
20,0.2,0.000385,-0.000317,-0.000137,,,,,,,,,,,,,,,,,,,
21,0.21,0.000339,-0.000298,-0.000172,,,,,,,,,,,,,,,,,,,
22,0.22,0.000382,-0.000341,-0.000185,,,,,,,,,,,,,,,,,,,
23,0.23,0.000404,-0.00037,-0.000165,,,,,,,,,,,,,,,,,,,
24,0.24,0.000421,-0.000392,-0.000188,,,,,,,,,,,,,,,,,,,
25,0.25,0.000362,-0.000384,-0.000217,,,,,,,,,,,,,,,,,,,
26,0.26,0.000289,-0.000382,-0.000345,,,,,,,,,,,,,,,,,,,
27,0.27,0.000329,-0.000478,-0.000365,,,,,,,,,,,,,,,,,,,
28,0.28,0.00031,-0.000518,-0.000346,,,,,,,,,,,,,,,,,,,
29,0.29,0.000271,-0.00051,-0.000377,,,,,,,,,,,,,,,,,,,
30,0.3,0.000299,-0.000533,-0.000396,,,,,,,,,,,,,,,,,,,
31,0.31,0.00025,-0.000511,-0.000489,,,,,,,,,,,,,,,,,,,
