Format Version,1.23,Take Name,Take 2024-06-23 04.15.12 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.15.13.064 PM,Capture Start Frame,87197,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066
,ID,C74930B2D6312E11EF,C74930B2D6312E11EF,C74930B2D6312E11EF,CA4930B2D6312E11EF,CA4930B2D6312E11EF,CA4930B2D6312E11EF,CB4930B2D6312E11EF,CB4930B2D6312E11EF,CB4930B2D6312E11EF,CC4930B2D6312E11EF,CC4930B2D6312E11EF,CC4930B2D6312E11EF,CD4930B2D6312E11EF,CD4930B2D6312E11EF,CD4930B2D6312E11EF,CE4930B2D6312E11EF,CE4930B2D6312E11EF,CE4930B2D6312E11EF,CF4930B2D6312E11EF,CF4930B2D6312E11EF,CF4930B2D6312E11EF,D04930B2D6312E11EF,D04930B2D6312E11EF,D04930B2D6312E11EF,D14930B2D6312E11EF,D14930B2D6312E11EF,D14930B2D6312E11EF,D24930B2D6312E11EF,D24930B2D6312E11EF,D24930B2D6312E11EF,D34930B2D6312E11EF,D34930B2D6312E11EF,D34930B2D6312E11EF,D64930B2D6312E11EF,D64930B2D6312E11EF,D64930B2D6312E11EF,D74930B2D6312E11EF,D74930B2D6312E11EF,D74930B2D6312E11EF,D84930B2D6312E11EF,D84930B2D6312E11EF,D84930B2D6312E11EF,D94930B2D6312E11EF,D94930B2D6312E11EF,D94930B2D6312E11EF,DA4930B2D6312E11EF,DA4930B2D6312E11EF,DA4930B2D6312E11EF
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-0.506061,-0.526623,-1.063221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,-0.506071,-0.526606,-1.06321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.02,-0.506065,-0.526586,-1.063179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03,-0.506058,-0.526613,-1.063237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.04,-0.506038,-0.5266,-1.063244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05,-0.506051,-0.526549,-1.063176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.06,-0.506062,-0.526581,-1.063229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.07,-0.506039,-0.526585,-1.06323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.08,-0.506055,-0.526614,-1.063294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09,-0.506063,-0.526597,-1.063299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.1,-0.50606,-0.526569,-1.063298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.11,-0.50603,-0.526547,-1.063313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.12,-0.506023,-0.526579,-1.063401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.13,-0.506033,-0.526561,-1.063392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.14,-0.506032,-0.526536,-1.063363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.15,-0.506032,-0.526542,-1.063367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.16,-0.506032,-0.526567,-1.063448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.17,-0.506046,-0.526532,-1.063442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.18,-0.506023,-0.526503,-1.063425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.19,-0.50602,-0.526501,-1.063429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.2,-0.506002,-0.526502,-1.063445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.21,-0.506027,-0.526506,-1.063499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.22,-0.506033,-0.526476,-1.063522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.23,-0.506038,-0.52644,-1.063526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.24,-0.50606,-0.526433,-1.063559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
