"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1720596591.331,451,318,313,433,738,420,502,552,698,780,439,326,382,411,368,486,444,391,407,381,438,332,330,344,323,394,460,382,430,371,342,326,353,325,362,-42.0,-21.0,20.0,1.03759765625,2.13623046875,5.798339366912842,0.009765625,0.9981689453125,-0.145263671875
1720596591.351,456,318,313,434,740,420,513,553,698,785,436,326,384,411,367,488,445,391,407,380,439,331,328,342,323,396,460,380,430,370,342,324,355,324,359,-42.0,-21.0,20.0,0.3662109076976776,2.0751953125,4.7607421875,0.0045166015625,0.9610595703125,-0.15673828125
1720596591.361,456,318,313,434,741,423,506,555,698,785,434,326,384,411,368,487,446,391,407,380,439,330,329,343,324,396,456,380,430,370,342,324,355,324,357,-42.0,-21.0,20.0,0.6713866591453552,2.50244140625,4.0283203125,0.0008544921875,0.961181640625,-0.1641845703125
1720596591.371,456,322,315,435,741,424,514,555,698,785,439,326,384,411,370,487,446,391,407,379,438,338,330,343,319,396,460,381,430,370,342,324,353,323,355,-42.0,-24.0,11.0,1.0986328125,2.868652105331421,3.234863042831421,-0.0118408203125,0.9737548828125,-0.1646728515625
1720596591.381,457,322,314,436,747,427,518,555,698,786,438,326,383,417,370,493,438,391,406,381,438,331,329,342,323,396,460,379,430,370,340,324,353,325,356,-42.0,-24.0,11.0,1.15966796875,3.173827886581421,2.929687261581421,-0.0286865234375,0.9814453125,-0.15966796875
1720596591.391,457,318,315,436,746,431,526,556,702,787,438,326,385,416,370,488,444,394,407,382,446,331,329,345,324,396,458,380,427,370,342,323,355,323,357,-42.0,-24.0,11.0,0.9765624403953552,2.746581792831421,3.234863042831421,-0.040771484375,0.9776611328125,-0.1556396484375
1720596591.401,461,321,314,436,748,434,529,561,702,787,450,328,384,416,370,488,449,394,407,384,446,330,330,343,323,395,460,382,430,370,342,323,355,322,355,-42.0,-24.0,11.0,1.03759765625,1.4038084745407104,4.0283203125,-0.0394287109375,0.9688720703125,-0.1551513671875
1720596591.411,463,318,313,436,750,436,543,561,702,788,450,331,382,416,370,493,447,396,406,390,446,331,330,347,323,396,460,381,431,370,342,322,356,308,357,-42.0,-24.0,11.0,1.220703125,-0.2441406100988388,4.82177734375,-0.0262451171875,0.9635009765625,-0.1544189453125
1720596591.421,465,318,314,435,754,436,549,563,703,790,456,338,391,417,372,499,447,394,409,391,447,338,330,347,324,398,460,382,433,371,340,323,356,322,357,-42.0,-24.0,11.0,1.2817381620407104,-1.0986328125,5.187987804412842,-0.013427734375,0.965087890625,-0.1507568359375
1720596591.431,465,319,315,437,759,447,555,566,702,788,463,339,396,415,377,502,455,396,409,390,447,338,330,343,322,398,462,382,433,371,340,323,355,324,357,-42.0,-24.0,11.0,1.5258787870407104,-0.6103515625,5.0048828125,-0.0087890625,0.9697265625,-0.149169921875
1720596591.441,470,318,314,438,770,455,568,567,703,800,464,332,396,419,377,521,455,396,409,396,450,331,338,345,324,398,465,383,434,372,340,324,353,324,357,-42.0,-24.0,11.0,2.01416015625,0.54931640625,4.5166015625,-0.0125732421875,0.9730224609375,-0.1539306640625
1720596591.451,472,317,315,437,771,453,586,569,707,803,464,340,394,420,376,526,458,398,411,402,450,331,331,343,324,399,463,384,435,373,341,323,354,324,357,-42.0,-24.0,11.0,2.624511480331421,1.220703125,4.08935546875,-0.021484375,0.9786376953125,-0.15869140625
1720596591.461,473,318,315,438,774,461,598,572,708,803,478,348,398,420,379,533,456,396,411,400,447,332,338,345,324,400,461,385,435,374,341,324,356,324,357,-42.0,-24.0,11.0,2.807616949081421,1.5258787870407104,3.967284917831421,-0.0247802734375,0.9881591796875,-0.1575927734375
1720596591.471,478,316,314,439,780,465,609,577,707,809,480,352,402,424,382,540,460,396,409,407,455,338,339,345,325,400,465,384,434,372,340,323,355,324,356,-42.0,-24.0,11.0,2.25830078125,1.7700194120407104,4.150390625,-0.0152587890625,0.995849609375,-0.15478515625
1720596591.481,482,316,315,444,785,473,621,582,711,813,484,354,404,426,384,552,465,396,411,406,455,338,338,345,326,402,465,384,436,372,340,322,354,323,354,-42.0,-24.0,16.0,1.2817381620407104,1.8310545682907104,4.2724609375,-0.0015869140625,0.998291015625,-0.1505126953125
1720596591.501,493,315,314,446,797,478,631,585,712,818,484,364,406,434,379,563,472,402,411,406,457,342,340,344,326,402,465,385,436,372,340,323,354,322,371,-42.0,-24.0,16.0,1.15966796875,2.563476324081421,3.845214605331421,-0.00634765625,0.97509765625,-0.1502685546875
1720596591.511,500,316,313,447,800,480,635,586,712,818,486,361,407,433,384,569,472,398,411,407,457,340,340,348,326,402,465,385,438,373,339,324,355,322,353,-42.0,-24.0,16.0,3.112792730331421,3.662109136581421,4.8828125,-0.00634765625,0.97509765625,-0.1502685546875
1720596591.521,503,315,315,447,800,484,635,593,712,818,485,368,409,433,384,570,473,399,411,407,457,341,340,347,325,402,463,385,437,373,340,323,355,324,353,-42.0,-24.0,16.0,3.112792730331421,3.662109136581421,4.8828125,-0.0089111328125,0.973876953125,-0.1534423828125
1720596591.531,508,315,315,447,805,486,638,594,714,822,486,365,409,433,390,576,473,396,411,407,457,342,340,348,326,404,465,384,436,372,339,322,353,322,353,-42.0,-24.0,16.0,3.417968511581421,1.7700194120407104,5.737304210662842,-0.0098876953125,0.975341796875,-0.1556396484375
1720596591.541,504,316,315,450,809,483,645,596,715,818,487,369,411,434,391,578,475,398,411,409,460,342,340,347,326,402,464,384,435,372,340,322,355,324,353,-42.0,-24.0,16.0,3.356933355331421,-1.2817381620407104,6.652831554412842,-0.0067138671875,0.9744873046875,-0.1588134765625
1720596591.551,508,316,315,450,808,486,646,598,718,818,491,371,411,433,391,580,476,396,411,407,461,340,342,345,324,400,464,385,434,372,338,324,353,323,352,-42.0,-24.0,16.0,3.234863042831421,-3.845214605331421,7.629394054412842,0.0029296875,0.972900390625,-0.1595458984375
