"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1727940995.751,645,755,355,319,344,371,338,465,574,675,535,673,566,522,652,453,545,512,468,601,692,631,609,621,651,673,780,724,712,614,780,778,778,750,750,-25.0,-9.0,69.0,-14.831542015075684,22.521970748901367,24.719236373901367,-0.971923828125,-0.0831298828125,0.1856689453125
1727940995.761,649,757,355,313,351,372,333,466,575,673,545,673,566,525,652,452,543,513,473,601,689,628,609,623,649,675,780,723,713,609,780,777,778,747,753,-25.0,-9.0,69.0,-10.986327171325684,21.667478561401367,20.629880905151367,-0.994873046875,-0.1136474609375,0.197998046875
1727940995.771,648,755,356,321,349,371,334,465,575,673,545,673,566,522,651,452,546,513,473,601,691,631,609,623,652,675,780,723,713,613,778,775,778,750,754,-21.0,-5.0,70.0,-8.48388671875,21.850584030151367,17.27294921875,-0.9891357421875,-0.150390625,0.2049560546875
1727940995.781,648,758,345,321,351,371,334,464,575,671,546,673,566,522,649,456,546,513,458,601,689,631,609,621,650,675,780,723,713,613,780,777,777,750,754,-21.0,-5.0,70.0,-8.60595703125,22.277830123901367,15.319823265075684,-0.974609375,-0.168212890625,0.1947021484375
1727940995.791,650,756,355,321,351,371,333,461,576,675,554,673,566,521,652,454,548,513,478,600,689,631,612,625,651,675,780,723,715,614,781,778,777,750,756,-21.0,-5.0,70.0,-11.169432640075684,23.193357467651367,14.282225608825684,-0.96337890625,-0.159423828125,0.174560546875
1727940995.801,650,758,355,322,349,371,332,458,580,675,555,671,566,525,650,452,553,512,473,607,687,631,614,625,651,675,780,723,715,613,780,774,778,750,753,-21.0,-5.0,70.0,-14.709471702575684,24.230955123901367,13.488768577575684,-0.9510498046875,-0.1436767578125,0.1693115234375
1727940995.811,649,756,357,324,345,371,333,468,582,676,566,671,569,521,652,454,554,517,473,601,688,631,609,628,651,674,780,723,713,612,780,778,778,750,751,-21.0,-5.0,70.0,-18.24951171875,24.414060592651367,12.207030296325684,-0.941162109375,-0.134033203125,0.17724609375
1727940995.821,654,759,355,324,352,372,342,468,582,678,567,675,569,522,664,456,554,517,477,609,689,634,612,631,651,675,780,723,714,613,780,777,777,750,753,-21.0,-5.0,70.0,-21.789548873901367,23.803709030151367,10.192870140075684,-0.9410400390625,-0.1302490234375,0.177734375
1727940995.831,661,758,355,324,360,367,341,457,585,680,570,673,570,522,666,458,557,516,478,614,692,633,612,631,652,674,780,723,714,609,780,778,778,750,753,-21.0,-5.0,70.0,-25.939939498901367,22.766111373901367,7.690429210662842,-0.9482421875,-0.1300048828125,0.16552734375
1727940995.841,664,759,357,324,367,382,343,466,587,684,573,676,571,529,667,456,558,518,478,613,689,634,614,634,652,671,780,721,706,608,780,778,777,746,747,-21.0,-5.0,70.0,-30.395505905151367,21.728513717651367,4.7607421875,-0.9635009765625,-0.11474609375,0.1593017578125
1727940995.851,671,759,357,325,367,385,344,473,592,685,572,676,573,529,675,456,559,519,477,614,692,634,613,631,651,664,778,718,700,607,777,777,771,742,741,-21.0,-5.0,70.0,-33.38623046875,20.874021530151367,1.9531248807907104,-0.98974609375,-0.0889892578125,0.1654052734375
1727940995.861,673,766,355,327,367,384,345,478,592,689,570,678,573,529,678,456,558,517,476,618,689,631,608,625,651,662,778,715,689,600,778,771,769,740,737,-21.0,-5.0,70.0,-32.77587890625,20.324705123901367,0.0,-1.0201416015625,-0.0870361328125,0.17529296875
1727940995.871,676,766,356,328,360,383,347,480,594,691,566,676,573,530,678,454,554,516,468,613,688,623,599,608,649,652,771,705,688,593,778,770,757,739,726,-21.0,-5.0,70.0,-28.198240280151367,20.141599655151367,-1.5869139432907104,-1.048095703125,-0.1068115234375,0.1920166015625
1727940995.881,678,767,356,328,361,381,345,480,596,689,557,676,571,527,675,453,548,512,469,608,685,614,593,600,642,644,766,705,678,587,774,766,753,737,722,-19.0,-7.0,71.0,-22.033689498901367,20.568845748901367,-3.417968511581421,-1.0615234375,-0.1202392578125,0.20166015625
1727940995.891,677,767,357,328,361,373,345,481,596,692,542,675,570,529,673,451,542,503,465,599,678,601,583,588,636,635,757,698,667,580,771,757,746,728,706,-19.0,-7.0,71.0,-18.00537109375,22.094724655151367,-4.82177734375,-1.043212890625,-0.1322021484375,0.1845703125
1727940995.901,676,766,357,329,367,371,344,481,594,692,529,671,569,524,662,449,533,495,463,593,669,587,571,578,631,625,750,689,652,569,771,750,739,717,694,-19.0,-7.0,71.0,-17.7001953125,24.414060592651367,-5.554198741912842,-0.99951171875,-0.1575927734375,0.1551513671875
1727940995.911,667,765,357,329,367,369,344,473,594,689,504,661,566,523,635,439,514,488,461,575,663,573,558,570,625,619,740,679,639,558,766,742,731,712,685,-19.0,-7.0,71.0,-20.568845748901367,26.245115280151367,-6.225585460662842,-0.96875,-0.177490234375,0.13037109375
1727940995.921,647,759,356,327,367,363,340,465,593,689,479,647,558,518,636,433,482,478,456,566,649,561,542,548,620,609,736,671,623,543,766,733,724,700,666,-19.0,-7.0,71.0,-25.146482467651367,26.428220748901367,-7.080077648162842,-0.9808349609375,-0.172607421875,0.1092529296875
1727940995.931,609,755,356,326,364,353,332,461,593,689,452,633,554,513,625,423,453,463,447,536,636,547,529,538,603,592,722,652,598,527,756,725,712,688,642,-19.0,-7.0,71.0,-28.137205123901367,25.024412155151367,-8.30078125,-1.0240478515625,-0.1607666015625,0.08837890625
1727940995.941,582,746,355,326,352,342,330,456,588,689,402,620,541,504,600,421,427,447,428,516,621,529,517,529,592,578,703,635,572,502,753,705,689,669,614,-19.0,-7.0,71.0,-28.076169967651367,22.888181686401367,-10.070799827575684,-1.0616455078125,-0.1558837890625,0.0772705078125
1727940995.951,559,737,355,321,349,334,327,452,585,685,367,596,530,495,582,417,387,433,420,482,603,502,487,507,569,556,680,609,532,465,739,692,677,651,575,-19.0,-7.0,71.0,-28.686521530151367,20.751951217651367,-12.817381858825684,-1.0733642578125,-0.1279296875,0.0830078125
1727940995.961,532,725,354,317,344,330,326,450,583,679,355,571,516,486,542,410,368,405,399,466,583,482,457,478,521,533,646,580,513,428,726,674,652,625,517,-19.0,-7.0,71.0,-31.494138717651367,19.10400390625,-16.54052734375,-1.0692138671875,-0.0552978515625,0.094482421875
