"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1727941719.781,310,310,310,311,311,311,311,311,310,311,313,311,311,311,310,311,310,310,310,310,310,310,310,311,310,311,311,311,311,313,310,313,311,311,311,20.0,-4.0,115.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.00927734375,-0.0382080078125,0.994140625
1727941719.791,310,311,310,310,310,311,310,310,310,311,311,311,311,311,312,310,310,310,310,310,311,312,311,310,311,312,312,311,310,310,311,311,313,311,311,20.0,-4.0,115.0,0.1831054538488388,0.6713866591453552,-0.1220703050494194,0.009765625,-0.03857421875,0.9923095703125
1727941719.801,310,310,311,310,310,310,311,311,310,311,312,311,311,310,311,310,310,310,310,310,310,311,311,311,311,312,311,311,311,311,311,311,313,311,312,20.0,-4.0,115.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.009765625,-0.03857421875,0.9923095703125
1727941719.811,310,310,310,309,311,310,311,310,310,310,311,311,311,310,311,310,310,310,306,310,311,311,311,311,311,311,311,311,313,312,311,311,313,311,310,20.0,-4.0,115.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.0101318359375,-0.0382080078125,0.9908447265625
1727941719.821,310,311,311,306,310,311,306,310,310,305,299,284,300,313,311,310,310,310,310,310,310,311,311,311,312,311,310,311,313,313,312,311,312,311,311,27.0,-9.0,142.0,0.3662109076976776,0.6713866591453552,-0.1220703050494194,0.0093994140625,-0.036865234375,0.990234375
1727941719.831,309,310,310,311,306,247,310,311,310,311,312,311,310,310,313,310,311,309,310,310,311,311,311,310,311,313,311,311,310,313,313,313,311,311,311,27.0,-9.0,142.0,0.2441406100988388,0.6103515625,-0.1220703050494194,0.0093994140625,-0.036865234375,0.990234375
1727941719.841,311,310,310,310,311,309,311,310,310,310,311,310,311,311,311,309,311,310,310,310,310,310,311,311,311,311,310,311,311,311,311,311,312,312,311,27.0,-9.0,142.0,0.2441406100988388,0.6103515625,-0.1220703050494194,0.0086669921875,-0.037353515625,0.9918212890625
1727941719.851,310,311,310,310,310,310,311,310,310,311,311,285,291,302,301,310,308,311,310,310,311,312,311,311,310,310,311,311,311,311,312,311,311,311,311,27.0,-9.0,142.0,0.2441406100988388,0.6103515625,-0.0610351525247097,0.009521484375,-0.036865234375,0.9915771484375
1727941719.861,296,310,310,310,309,310,311,311,311,311,311,311,310,311,311,310,310,310,310,310,311,312,310,310,312,311,311,311,311,313,312,312,311,311,311,27.0,-9.0,142.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.009521484375,-0.036865234375,0.9915771484375
1727941719.871,310,310,311,310,310,310,310,310,310,310,311,311,312,311,310,310,310,311,310,310,310,311,311,310,311,313,311,313,313,311,311,311,311,311,312,27.0,-9.0,142.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.0103759765625,-0.03662109375,0.9915771484375
1727941719.881,310,310,310,310,310,310,310,310,310,311,311,311,311,310,311,310,308,310,311,311,311,311,311,310,311,311,311,312,310,310,313,311,311,311,311,27.0,-9.0,142.0,0.1831054538488388,0.6713866591453552,-0.1220703050494194,0.009765625,-0.0364990234375,0.992919921875
1727941719.891,310,310,310,311,310,310,310,311,310,310,311,311,311,310,312,310,310,310,310,311,311,310,313,310,310,310,311,310,312,313,310,312,311,313,312,27.0,-9.0,142.0,0.30517578125,0.6713866591453552,-0.1220703050494194,0.009765625,-0.0364990234375,0.992919921875
1727941719.901,310,311,311,311,310,311,311,310,310,311,310,311,312,310,311,310,311,311,310,296,311,311,311,311,311,311,312,311,312,311,311,313,311,311,311,27.0,-9.0,142.0,0.30517578125,0.6713866591453552,-0.1220703050494194,0.010009765625,-0.0362548828125,0.9927978515625
1727941719.911,310,311,310,310,310,310,311,310,310,311,311,311,310,310,311,310,310,310,309,311,310,310,310,310,310,311,311,311,310,311,311,311,311,311,310,27.0,-9.0,142.0,0.3662109076976776,0.6713866591453552,-0.1220703050494194,0.010009765625,-0.036376953125,0.9918212890625
1727941719.921,309,310,310,310,310,310,310,310,311,310,311,311,310,312,311,310,309,311,311,310,311,310,311,311,311,311,311,311,311,313,313,311,312,311,311,27.0,-9.0,142.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.010009765625,-0.036376953125,0.9918212890625
1727941719.931,310,310,310,310,311,310,310,310,310,310,310,311,312,310,310,310,310,310,310,311,310,311,310,311,313,311,311,312,311,311,311,311,311,311,313,27.0,-5.0,122.0,0.2441406100988388,0.6713866591453552,-0.1220703050494194,0.0098876953125,-0.0367431640625,0.992431640625
1727941719.951,310,315,289,310,290,28,0,311,310,311,311,311,310,311,310,310,310,310,310,311,311,310,310,311,311,311,310,311,311,311,311,311,310,312,313,27.0,-5.0,122.0,0.2441406100988388,0.6103515625,-0.0610351525247097,0.008544921875,-0.036865234375,0.99267578125
1727941719.961,310,289,293,310,286,272,310,310,311,310,311,311,310,310,311,310,310,311,311,311,311,310,311,311,311,311,311,313,311,313,311,310,311,313,311,27.0,-5.0,122.0,0.2441406100988388,0.6103515625,-0.0610351525247097,0.0084228515625,-0.037109375,0.99169921875
1727941719.971,310,310,310,310,311,311,310,310,310,310,312,312,311,313,311,311,310,310,306,311,312,311,311,311,310,311,311,311,311,311,311,311,313,311,313,27.0,-5.0,122.0,0.1831054538488388,0.6103515625,-0.0610351525247097,0.0098876953125,-0.0367431640625,0.991943359375
1727941719.981,310,310,310,310,310,310,310,310,310,310,311,311,311,311,311,311,310,310,310,310,311,310,311,311,311,311,312,311,311,311,313,311,313,311,311,27.0,-5.0,122.0,0.3662109076976776,0.7324218153953552,-0.0610351525247097,0.0098876953125,-0.0367431640625,0.991943359375
1727941719.991,310,310,310,310,310,311,310,310,310,311,312,311,311,310,310,310,310,310,311,311,313,311,311,311,311,311,313,311,311,311,313,313,312,313,312,27.0,-5.0,122.0,0.3662109076976776,0.7324218153953552,-0.0610351525247097,0.01025390625,-0.0364990234375,0.9915771484375
1727941720.001,310,310,311,311,310,311,310,310,311,311,311,311,311,311,311,311,310,310,309,311,301,310,311,311,311,313,311,310,313,310,311,311,311,311,313,27.0,-5.0,122.0,0.30517578125,0.6713866591453552,-0.0610351525247097,0.010009765625,-0.0374755859375,0.9921875
1727941720.011,309,310,310,310,310,310,311,311,310,311,311,311,312,310,310,311,311,310,310,284,310,311,311,311,311,311,312,311,311,311,311,313,312,311,312,27.0,-5.0,122.0,0.2441406100988388,0.6713866591453552,-0.0610351525247097,0.010009765625,-0.0374755859375,0.9921875
