"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1727941719.771,310,310,310,310,309,310,308,310,309,309,310,310,310,310,310,310,307,305,310,309,309,309,307,305,307,309,309,309,308,309,309,310,309,309,309,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0,-0.0048828125,-0.0123291015625,0.9998779296875
1727941719.781,310,310,309,310,309,346,310,309,309,309,310,310,309,309,310,309,307,308,310,309,309,305,308,309,310,308,310,309,307,309,310,309,309,308,309,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0,-0.0052490234375,-0.0118408203125,0.998291015625
1727941719.791,309,310,310,309,309,309,309,309,309,310,309,309,309,309,309,309,310,310,307,309,305,309,307,305,307,310,308,309,309,309,309,310,309,308,310,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0610351525247097,-0.0057373046875,-0.0113525390625,0.9986572265625
1727941719.801,310,310,309,309,309,309,307,308,309,309,309,310,311,310,309,309,309,310,310,309,308,305,307,310,304,309,309,309,309,305,309,309,308,309,309,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0610351525247097,-0.0057373046875,-0.0113525390625,0.9986572265625
1727941719.811,309,310,310,310,310,309,309,309,309,283,310,310,292,309,305,312,314,309,310,309,310,309,308,305,307,310,309,310,309,309,309,309,309,310,310,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0610351525247097,-0.0057373046875,-0.0113525390625,1.0
1727941719.821,310,310,310,309,308,309,310,309,309,309,310,308,310,309,310,307,309,310,309,309,309,307,305,307,309,309,309,309,306,309,309,310,309,309,309,-2.0,-14.0,30.0,0.0,-0.1220703050494194,0.0610351525247097,-0.0057373046875,-0.011962890625,0.9989013671875
1727941719.831,309,309,103,309,310,308,299,279,309,309,310,310,309,310,310,309,309,309,309,309,307,307,305,309,308,309,309,309,309,309,310,309,308,309,310,-2.0,-14.0,30.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.0057373046875,-0.011962890625,0.9989013671875
1727941719.841,310,309,232,310,311,309,309,309,291,295,286,297,309,306,309,310,308,308,309,309,308,307,305,305,308,309,310,307,309,309,309,309,308,309,309,-2.0,-14.0,30.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.006103515625,-0.0115966796875,0.9979248046875
1727941719.851,310,310,310,310,310,309,308,309,305,310,310,310,308,309,310,310,308,309,309,309,310,308,309,308,309,309,308,309,310,309,309,309,310,309,309,-2.0,-14.0,30.0,0.0,-0.0610351525247097,0.0,-0.005615234375,-0.0106201171875,0.9990234375
1727941719.861,310,310,167,305,309,310,310,309,310,309,310,310,310,305,309,309,309,309,309,310,305,305,309,309,307,308,309,309,309,310,309,310,310,309,309,1.0,-12.0,27.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.005615234375,-0.0106201171875,0.9990234375
