"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1728446869.191,310,310,306,310,309,310,310,310,310,311,311,311,310,310,311,310,310,310,310,310,311,310,310,310,312,313,311,310,311,310,311,311,311,311,311,-29.0,-20.0,67.0,0.4882812201976776,0.6713866591453552,0.0,0.0155029296875,-0.0152587890625,0.99072265625
1728446869.211,308,310,310,310,310,310,310,310,310,309,302,310,311,311,311,310,310,309,310,310,310,310,310,311,310,310,309,310,311,311,311,311,311,311,311,-29.0,-20.0,67.0,0.4882812201976776,0.6713866591453552,0.0610351525247097,0.0162353515625,-0.016357421875,0.9913330078125
1728446869.222,310,310,310,310,310,310,310,310,310,310,310,311,311,310,311,310,310,310,310,310,308,311,311,310,310,311,311,311,311,310,310,310,311,311,310,-26.0,-17.0,73.0,0.54931640625,0.6713866591453552,0.0,0.0155029296875,-0.0162353515625,0.9921875
1728446869.231,305,309,310,310,310,310,310,310,310,310,310,311,311,310,310,309,307,309,310,310,310,311,311,310,311,311,310,311,311,311,310,311,311,311,311,-26.0,-17.0,73.0,0.4882812201976776,0.6103515625,0.0,0.0157470703125,-0.0155029296875,0.9910888671875
1728446869.241,305,309,310,310,310,310,310,310,310,310,310,310,311,310,309,309,310,310,310,309,311,311,311,311,310,310,310,312,311,310,311,311,311,311,311,-26.0,-17.0,73.0,0.4882812201976776,0.6713866591453552,0.0,0.016845703125,-0.014892578125,0.9903564453125
1728446869.251,310,310,310,306,310,310,310,311,310,310,311,311,311,310,311,310,310,310,310,310,311,311,310,310,312,312,310,311,311,311,312,311,311,311,313,-26.0,-17.0,73.0,0.4882812201976776,0.7324218153953552,0.0,0.017333984375,-0.0140380859375,0.990966796875
1728446869.261,309,310,310,305,310,310,310,310,311,306,310,311,311,311,310,310,310,310,310,310,310,310,311,311,311,310,311,312,312,311,311,310,311,311,311,-26.0,-17.0,73.0,0.4882812201976776,0.7324218153953552,0.0,0.0169677734375,-0.0130615234375,0.9913330078125
1728446869.271,309,310,310,310,310,310,306,310,310,310,310,310,311,310,312,309,309,310,310,310,311,310,310,311,310,310,311,310,311,311,313,311,313,311,311,-26.0,-17.0,73.0,0.54931640625,0.7324218153953552,0.0,0.0164794921875,-0.0130615234375,0.9910888671875
1728446869.281,310,310,309,308,310,311,311,311,299,310,309,311,311,310,311,310,308,310,310,310,310,310,310,311,310,310,311,310,311,310,311,313,312,311,312,-26.0,-17.0,73.0,0.54931640625,0.6713866591453552,0.0,0.016357421875,-0.0137939453125,0.99072265625
1728446869.291,306,310,310,309,310,310,310,310,310,310,311,310,310,310,311,310,311,310,309,310,311,310,310,311,310,310,311,311,311,310,312,310,310,312,311,-26.0,-17.0,73.0,0.4882812201976776,0.6713866591453552,0.0,0.0164794921875,-0.0146484375,0.9910888671875
1728446869.301,306,310,310,306,310,310,310,310,310,310,311,310,311,311,310,309,310,310,310,310,310,310,310,311,311,311,310,313,311,311,311,312,311,312,311,-26.0,-17.0,73.0,0.4882812201976776,0.6713866591453552,-0.0610351525247097,0.0167236328125,-0.01513671875,0.99169921875
1728446869.311,310,310,310,310,310,310,310,310,311,311,311,311,310,310,310,310,310,310,310,310,311,311,310,310,311,312,310,310,311,311,311,310,310,311,311,-26.0,-17.0,73.0,0.4882812201976776,0.6713866591453552,-0.0610351525247097,0.0166015625,-0.01513671875,0.9913330078125
1728446869.321,306,310,310,310,309,311,311,310,310,310,309,311,311,311,311,309,309,310,310,310,310,311,311,311,310,311,310,311,311,311,311,310,311,311,312,-29.0,-20.0,76.0,0.54931640625,0.7324218153953552,0.0,0.016357421875,-0.0147705078125,0.990478515625
1728446869.331,306,310,310,310,310,310,310,310,310,309,310,311,310,310,310,309,310,306,310,309,310,311,311,310,311,311,310,311,311,310,310,311,311,312,311,-29.0,-20.0,76.0,0.4882812201976776,0.7324218153953552,0.0,0.016357421875,-0.0145263671875,0.9901123046875
1728446869.341,310,310,310,310,310,311,310,310,310,310,310,310,311,311,310,310,309,310,310,310,310,310,311,311,311,310,311,311,311,310,310,311,311,311,311,-29.0,-20.0,76.0,0.4272460639476776,0.6713866591453552,0.0,0.016357421875,-0.0150146484375,0.9903564453125
1728446869.351,306,310,310,310,310,310,310,311,310,310,310,310,311,311,311,310,311,310,310,310,310,310,310,311,310,311,310,311,311,311,311,311,310,311,311,-29.0,-20.0,76.0,0.4272460639476776,0.6713866591453552,0.0,0.0164794921875,-0.015380859375,0.9912109375
1728446869.362,309,310,309,310,310,310,311,309,310,310,310,311,311,310,310,310,310,310,310,310,310,311,310,311,310,311,310,311,310,311,311,311,312,311,311,-29.0,-20.0,76.0,0.4882812201976776,0.6103515625,0.0610351525247097,0.016845703125,-0.015380859375,0.99169921875
1728446869.371,310,310,310,310,310,310,310,310,310,310,311,311,310,310,311,310,310,310,310,310,311,310,310,310,310,311,312,311,310,311,311,310,311,313,311,-29.0,-20.0,76.0,0.4882812201976776,0.6713866591453552,0.0610351525247097,0.0172119140625,-0.0155029296875,0.9920654296875
1728446869.381,309,309,300,306,308,311,311,310,310,309,311,311,311,310,311,310,310,310,310,310,311,310,311,310,310,311,311,311,310,310,310,312,312,311,310,-29.0,-20.0,76.0,0.4882812201976776,0.6713866591453552,0.0610351525247097,0.0174560546875,-0.0152587890625,0.991943359375
1728446869.401,309,300,308,310,310,311,310,310,310,310,311,311,311,310,310,310,310,310,310,310,310,311,311,310,311,311,311,310,310,311,311,311,311,310,311,-29.0,-20.0,76.0,0.4272460639476776,0.6713866591453552,0.0,0.01708984375,-0.013916015625,0.990234375
1728446869.411,310,310,310,310,310,311,310,311,310,309,310,310,311,311,310,309,310,310,310,310,310,311,311,310,310,310,311,311,310,311,310,310,311,311,311,-29.0,-20.0,76.0,0.4272460639476776,0.6713866591453552,0.0,0.0167236328125,-0.013671875,0.99072265625
1728446869.421,308,310,310,310,308,310,310,310,310,309,312,310,311,311,311,310,311,311,309,310,311,311,311,310,311,312,312,312,311,310,311,311,311,312,311,-38.0,-18.0,73.0,0.4272460639476776,0.6713866591453552,0.0,0.0166015625,-0.013671875,0.9918212890625
1728446869.431,306,310,310,310,311,310,310,310,310,311,311,311,310,311,311,310,310,310,310,310,311,311,311,310,310,310,311,312,310,311,311,311,311,313,310,-38.0,-18.0,73.0,0.4882812201976776,0.6713866591453552,0.0,0.016357421875,-0.013916015625,0.9918212890625
1728446869.441,307,309,311,310,310,310,310,310,311,310,310,310,312,311,310,308,307,310,310,311,310,310,311,310,310,310,310,310,310,311,311,310,311,313,311,-38.0,-18.0,73.0,0.4882812201976776,0.6713866591453552,0.0,0.0157470703125,-0.014404296875,0.9910888671875
1728446869.451,310,306,310,310,310,312,310,310,310,310,310,310,311,311,311,309,310,310,311,310,310,310,311,311,310,310,310,311,311,311,311,311,311,311,311,-38.0,-18.0,73.0,0.4882812201976776,0.6103515625,0.0,0.015380859375,-0.0147705078125,0.9903564453125
1728446869.461,310,310,311,310,310,309,310,310,310,310,311,310,310,310,310,310,306,310,311,310,310,311,310,310,311,311,313,310,311,311,311,311,313,311,311,-38.0,-18.0,73.0,0.4882812201976776,0.6103515625,0.0,0.01513671875,-0.0146484375,0.990234375
1728446869.471,309,310,310,310,309,311,310,310,310,310,310,310,312,311,311,310,310,310,310,311,311,311,311,311,311,311,310,311,311,311,310,310,311,312,311,-38.0,-18.0,73.0,0.4882812201976776,0.6713866591453552,0.0,0.0150146484375,-0.0145263671875,0.9912109375
1728446869.481,309,310,310,311,309,310,309,311,310,306,310,310,311,311,310,310,310,310,310,310,311,311,311,311,310,311,311,311,310,310,310,311,313,311,311,-38.0,-18.0,73.0,0.4272460639476776,0.6713866591453552,-0.0610351525247097,0.0152587890625,-0.0147705078125,0.991455078125
1728446869.491,308,306,307,310,310,311,309,310,310,310,310,311,310,310,311,310,310,310,309,310,311,311,311,311,311,311,311,310,311,312,310,311,311,311,311,-38.0,-18.0,73.0,0.4272460639476776,0.6713866591453552,-0.0610351525247097,0.015869140625,-0.0146484375,0.9908447265625
1728446869.501,310,310,310,310,310,310,310,310,310,309,310,310,313,311,311,309,306,310,310,310,311,311,310,310,310,311,310,310,311,311,311,311,311,311,311,-38.0,-18.0,73.0,0.4272460639476776,0.6713866591453552,0.0,0.0164794921875,-0.0142822265625,0.990478515625
1728446869.511,306,310,310,310,310,310,309,309,310,311,312,311,310,311,310,310,310,310,310,310,311,310,310,310,310,310,310,310,311,311,312,311,311,311,312,-38.0,-18.0,73.0,0.4272460639476776,0.6713866591453552,0.0,0.0164794921875,-0.0142822265625,0.9908447265625
1728446869.521,309,310,299,310,310,310,310,310,310,310,310,311,311,311,310,310,311,310,310,310,310,312,311,312,310,310,311,311,311,311,312,311,311,311,310,-27.0,-19.0,71.0,0.4882812201976776,0.6713866591453552,0.0,0.0159912109375,-0.014404296875,0.991943359375
1728446869.531,308,311,310,310,305,306,310,311,311,311,310,310,300,310,310,309,310,310,310,310,310,310,311,310,310,311,311,312,310,310,313,312,311,310,310,-27.0,-19.0,71.0,0.54931640625,0.6713866591453552,0.0,0.0162353515625,-0.0142822265625,0.992431640625
1728446869.541,308,309,310,310,306,310,310,311,310,309,309,310,311,310,310,310,310,310,310,311,311,310,310,311,310,311,311,311,310,310,310,311,311,312,312,-27.0,-19.0,71.0,0.54931640625,0.6713866591453552,0.0,0.0162353515625,-0.014404296875,0.9925537109375
