"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1728446869.191,308,309,309,305,310,309,305,309,309,307,309,308,309,309,308,308,308,310,305,309,307,309,309,307,305,309,305,309,309,307,305,310,309,308,310,4.0,25.0,39.0,0.1220703050494194,-0.0610351525247097,-0.0610351525247097,-0.0101318359375,-0.0064697265625,0.9984130859375
1728446869.201,309,309,310,308,308,307,309,309,309,307,309,309,309,309,309,309,307,309,309,309,308,309,309,306,308,305,309,310,305,309,309,309,309,310,309,4.0,25.0,39.0,0.0610351525247097,-0.0610351525247097,-0.0610351525247097,-0.0103759765625,-0.0069580078125,1.0
1728446869.211,309,309,310,309,309,309,305,307,305,307,305,309,309,309,309,305,308,309,309,309,309,309,309,309,309,310,309,305,308,308,309,309,306,309,309,4.0,25.0,39.0,0.0,-0.0610351525247097,0.0,-0.0107421875,-0.0079345703125,1.0001220703125
1728446869.221,308,305,309,310,309,308,309,308,308,310,308,307,309,309,310,309,309,309,309,309,308,309,308,307,305,309,305,305,309,307,309,310,309,310,309,4.0,25.0,39.0,0.0,-0.0610351525247097,0.0,-0.0115966796875,-0.0078125,0.9989013671875
1728446869.231,307,309,309,309,308,309,310,310,309,310,309,310,309,309,309,309,305,309,309,310,308,305,305,305,309,305,309,305,307,308,309,307,309,309,307,4.0,25.0,39.0,0.0610351525247097,-0.0610351525247097,0.0,-0.0118408203125,-0.0078125,0.9984130859375
1728446869.241,310,309,309,308,309,308,308,307,309,307,309,305,309,310,308,307,309,305,309,308,307,309,310,305,305,308,308,307,305,305,309,309,309,309,309,4.0,25.0,39.0,0.0610351525247097,-0.0610351525247097,0.0,-0.0118408203125,-0.008056640625,0.998779296875
1728446869.251,309,309,309,309,310,305,309,309,308,309,305,309,309,310,310,308,309,305,307,308,305,309,307,309,309,308,305,309,309,309,309,309,305,309,309,4.0,25.0,39.0,0.0610351525247097,-0.0610351525247097,0.0,-0.01220703125,-0.0078125,0.999267578125
1728446869.261,308,309,310,309,305,305,309,307,309,309,310,309,310,310,310,310,309,309,309,309,308,304,305,307,305,308,309,305,309,309,310,307,309,308,309,4.0,25.0,39.0,0.0610351525247097,-0.1220703050494194,-0.0610351525247097,-0.0123291015625,-0.0079345703125,0.9991455078125
1728446869.271,309,309,309,310,309,310,309,309,309,309,309,309,309,309,310,307,309,307,309,309,309,307,305,307,307,309,309,309,309,305,309,309,307,305,308,9.0,26.0,41.0,0.0610351525247097,-0.1220703050494194,0.0,-0.012451171875,-0.0086669921875,0.9989013671875
1728446869.281,309,309,309,309,308,308,309,308,309,305,309,309,308,309,309,309,305,309,309,309,305,309,308,308,305,309,307,305,309,309,309,309,309,308,309,9.0,26.0,41.0,0.0610351525247097,-0.1220703050494194,0.0,-0.012451171875,-0.009033203125,0.9981689453125
1728446869.291,309,309,309,309,309,305,309,310,308,310,309,310,309,305,309,309,309,309,309,309,309,307,304,305,305,309,309,307,305,309,309,309,309,308,309,9.0,26.0,41.0,0.1220703050494194,-0.0610351525247097,0.0,-0.01220703125,-0.0086669921875,0.997802734375
1728446869.301,308,310,310,309,310,309,305,310,305,308,309,309,309,308,309,307,309,305,299,309,309,309,308,305,305,308,305,309,308,308,305,307,309,309,309,9.0,26.0,41.0,0.1220703050494194,-0.0610351525247097,0.0,-0.0115966796875,-0.008056640625,0.9984130859375
1728446869.311,310,309,310,309,309,307,309,309,305,305,309,308,309,309,308,308,309,309,308,307,305,307,305,305,305,310,309,309,308,309,309,309,309,309,308,9.0,26.0,41.0,0.0610351525247097,-0.0610351525247097,0.0,-0.0111083984375,-0.0079345703125,0.99951171875
1728446869.321,305,309,309,309,308,309,309,310,309,309,309,310,309,310,309,309,309,309,307,305,308,305,305,309,306,309,307,309,305,309,310,308,307,309,309,9.0,26.0,41.0,0.0,-0.0610351525247097,0.0,-0.01123046875,-0.0078125,1.0
1728446869.331,310,308,310,310,309,309,309,308,309,309,310,309,308,309,306,305,307,309,309,310,308,306,307,307,309,309,310,308,304,308,309,309,308,308,310,9.0,26.0,41.0,0.0,-0.1220703050494194,0.0,-0.0115966796875,-0.007568359375,0.9990234375
1728446869.341,308,309,309,310,309,307,307,309,305,308,310,309,309,308,310,309,309,306,305,309,305,308,305,308,305,309,309,309,308,308,305,310,309,309,309,9.0,26.0,41.0,0.0610351525247097,-0.1220703050494194,0.0,-0.011474609375,-0.0079345703125,0.998779296875
1728446869.351,309,310,307,309,309,310,310,310,309,310,310,309,310,309,309,304,309,310,309,309,307,307,305,305,305,309,308,309,307,309,309,309,306,310,307,9.0,26.0,41.0,0.0610351525247097,-0.1220703050494194,0.0,-0.010986328125,-0.00830078125,0.9996337890625
1728446869.361,310,309,310,309,309,309,309,307,309,309,310,305,309,309,308,309,310,307,309,310,309,307,309,309,309,309,305,309,309,308,310,308,309,309,309,9.0,26.0,41.0,0.0610351525247097,-0.1220703050494194,0.0610351525247097,-0.010009765625,-0.008056640625,1.0006103515625
1728446869.371,310,309,310,309,309,308,308,308,308,308,305,309,309,309,309,308,304,309,305,309,305,305,305,305,308,305,305,305,308,308,308,309,305,310,309,5.0,26.0,42.0,0.0610351525247097,-0.1220703050494194,0.0610351525247097,-0.009765625,-0.0076904296875,1.0001220703125
1728446869.381,309,309,309,309,309,308,305,310,310,309,310,309,309,310,308,309,309,305,305,308,305,305,307,309,305,305,309,309,309,307,307,309,308,309,308,5.0,26.0,42.0,0.1220703050494194,-0.1220703050494194,0.0610351525247097,-0.0106201171875,-0.0074462890625,0.998291015625
1728446869.391,309,309,309,309,309,308,305,309,309,307,310,307,308,309,309,309,308,308,309,309,308,305,307,307,306,309,306,308,308,309,310,307,309,309,309,5.0,26.0,42.0,0.1220703050494194,-0.1220703050494194,0.0610351525247097,-0.011474609375,-0.00732421875,0.9974365234375
1728446869.401,310,309,309,310,310,309,305,310,308,309,309,307,310,305,310,309,309,309,307,309,308,305,305,307,309,308,308,309,307,309,309,310,309,309,309,5.0,26.0,42.0,0.0610351525247097,-0.0610351525247097,-0.0610351525247097,-0.011962890625,-0.007568359375,0.998046875
1728446869.411,310,307,309,309,310,305,309,309,309,309,310,310,309,310,309,309,305,309,305,309,305,304,308,305,308,309,309,309,309,310,309,307,310,309,309,5.0,26.0,42.0,0.0610351525247097,-0.0610351525247097,-0.0610351525247097,-0.0120849609375,-0.0081787109375,0.9989013671875
1728446869.421,309,309,309,309,309,309,307,309,309,308,308,309,305,310,308,309,305,309,310,309,309,309,309,309,310,309,307,309,305,308,308,309,309,309,309,5.0,26.0,42.0,0.0610351525247097,-0.1220703050494194,0.0,-0.011962890625,-0.008544921875,0.9990234375
1728446869.431,309,306,309,310,309,309,309,309,308,309,310,308,309,308,309,309,309,309,309,309,305,305,305,305,308,308,305,309,309,309,309,309,308,308,309,5.0,26.0,42.0,0.0610351525247097,-0.1220703050494194,0.0,-0.012451171875,-0.0078125,0.998779296875
1728446869.441,309,309,308,304,309,309,309,309,309,309,309,310,310,309,307,308,305,305,309,309,305,309,308,307,309,309,308,307,305,305,309,309,309,309,309,5.0,26.0,42.0,0.0610351525247097,-0.1220703050494194,0.0,-0.012451171875,-0.0078125,0.998779296875
