"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1731460105.511,310,311,311,310,310,310,310,310,310,311,311,311,311,311,312,310,310,308,310,310,310,311,310,310,310,311,312,312,311,311,311,313,311,311,311,-30.0,10.0,51.0,0.6713866591453552,0.54931640625,0.0,-0.9805908203125,-0.025146484375,-0.0264892578125
1731460105.521,310,310,311,310,310,311,310,310,311,310,311,310,312,312,310,311,306,309,310,310,310,311,310,311,312,312,311,311,312,312,311,310,313,311,310,-30.0,10.0,51.0,0.6103515625,0.4882812201976776,0.0,-0.9810791015625,-0.0255126953125,-0.02587890625
1731460105.531,310,311,310,310,310,310,311,310,310,310,311,310,311,311,311,310,310,310,310,310,310,311,310,311,310,311,312,311,311,311,311,311,313,312,311,-30.0,10.0,51.0,0.6103515625,0.54931640625,0.0610351525247097,-0.9814453125,-0.0255126953125,-0.025146484375
1731460105.541,310,310,310,310,310,310,311,307,311,310,311,310,311,311,311,310,310,309,310,310,311,310,311,310,311,313,311,312,311,311,311,313,311,313,310,-33.0,12.0,52.0,0.6103515625,0.54931640625,0.0610351525247097,-0.98046875,-0.02490234375,-0.0240478515625
1731460105.551,310,310,310,311,310,311,310,311,310,310,311,311,310,310,312,310,310,309,310,311,311,311,310,311,311,310,310,312,313,311,311,310,313,311,311,-33.0,12.0,52.0,0.6103515625,0.6103515625,0.0610351525247097,-0.9805908203125,-0.023681640625,-0.023193359375
1731460105.561,310,311,310,310,310,310,311,310,310,310,313,311,311,310,311,311,310,310,310,310,310,310,311,310,310,311,311,311,313,311,310,311,312,310,312,-33.0,12.0,52.0,0.7324218153953552,0.54931640625,0.0,-0.981689453125,-0.0223388671875,-0.0234375
1731460105.571,309,310,310,310,310,310,310,310,311,310,311,311,311,312,311,310,311,310,310,310,310,311,311,310,310,311,311,311,311,311,311,312,311,313,311,-33.0,12.0,52.0,0.7324218153953552,0.54931640625,0.0,-0.9822998046875,-0.02197265625,-0.0242919921875
1731460105.581,310,311,310,311,310,310,310,310,310,311,311,310,311,311,311,310,310,310,310,311,311,311,311,311,311,310,313,311,311,311,311,311,313,313,311,-33.0,12.0,52.0,0.7324218153953552,0.6103515625,0.0,-0.9813232421875,-0.022216796875,-0.0250244140625
1731460105.592,289,310,310,310,308,310,310,310,310,310,311,311,311,310,311,310,310,310,310,309,310,311,311,310,311,311,311,311,311,311,311,310,311,312,312,-33.0,12.0,52.0,0.6103515625,0.6103515625,0.0,-0.979736328125,-0.023681640625,-0.0225830078125
1731460105.604,310,310,310,310,310,311,310,310,311,310,310,310,311,311,311,310,310,309,310,310,311,310,310,311,312,311,311,310,311,311,311,310,311,313,313,-33.0,12.0,52.0,0.6103515625,0.4882812201976776,0.0610351525247097,-0.979736328125,-0.023681640625,-0.0225830078125
1731460105.612,310,311,310,310,310,310,310,311,310,310,311,311,311,310,310,311,310,310,310,310,311,311,311,309,311,312,311,311,310,311,311,310,313,311,310,-33.0,12.0,52.0,0.6103515625,0.4882812201976776,0.0610351525247097,-0.9813232421875,-0.0242919921875,-0.0145263671875
1731460105.621,310,310,310,310,310,310,310,311,310,310,311,310,311,311,310,310,310,310,311,310,310,311,310,311,310,312,311,311,311,312,311,312,312,311,311,-33.0,12.0,52.0,0.4882812201976776,0.4272460639476776,0.0610351525247097,-0.9813232421875,-0.0242919921875,-0.0145263671875
1731460105.631,310,310,310,311,310,310,310,309,310,311,310,310,311,311,312,310,310,310,310,310,311,309,311,310,311,311,311,312,313,313,313,312,312,311,311,-33.0,12.0,52.0,0.4882812201976776,0.4272460639476776,0.0610351525247097,-0.980712890625,-0.024658203125,-0.00927734375
1731460105.641,309,310,310,310,310,310,310,310,310,311,311,310,311,310,311,310,306,310,310,310,310,311,310,310,311,311,310,311,311,313,311,313,311,311,313,-29.0,12.0,46.0,0.4272460639476776,0.4882812201976776,0.0610351525247097,-0.9805908203125,-0.02587890625,-0.004638671875
1731460105.651,310,310,310,310,310,310,310,310,308,311,310,310,310,311,311,310,310,310,310,310,311,310,311,311,310,311,311,310,310,312,311,310,311,311,311,-29.0,12.0,46.0,0.3662109076976776,0.54931640625,0.0,-0.9805908203125,-0.02587890625,-0.004638671875
1731460105.661,309,310,310,311,310,310,311,310,310,310,311,310,310,312,311,310,306,310,310,310,311,312,310,310,310,311,313,311,311,311,311,313,311,312,310,-29.0,12.0,46.0,0.4882812201976776,0.6103515625,-0.0610351525247097,-0.981201171875,-0.025146484375,-0.008056640625
1731460105.671,309,310,311,310,311,310,308,310,310,310,310,310,311,311,311,310,308,310,310,310,310,310,311,311,311,311,312,311,313,311,311,311,312,311,311,-29.0,12.0,46.0,0.6103515625,0.6713866591453552,0.0,-0.9822998046875,-0.023193359375,-0.0147705078125
1731460105.681,308,310,310,310,310,311,310,310,310,310,311,311,311,310,311,310,310,310,310,310,310,310,311,313,313,310,310,311,311,312,313,311,313,312,311,-29.0,12.0,46.0,0.7324218153953552,0.7324218153953552,0.0,-0.982421875,-0.0213623046875,-0.0235595703125
1731460105.691,310,310,307,310,310,310,310,302,311,310,313,299,311,299,300,310,296,296,299,310,311,310,310,311,310,313,310,311,311,311,310,311,311,311,311,-29.0,12.0,46.0,0.7324218153953552,0.7324218153953552,0.0,-0.9808349609375,-0.0224609375,-0.038818359375
1731460105.704,310,311,311,310,310,310,310,310,310,310,312,311,311,310,311,311,310,310,308,310,311,310,312,310,310,310,311,313,311,311,311,311,311,311,311,-29.0,12.0,46.0,0.6713866591453552,0.6713866591453552,-0.0610351525247097,-0.9814453125,-0.0247802734375,-0.042236328125
1731460105.712,310,310,310,310,310,310,310,311,310,310,311,310,311,311,311,310,310,310,310,310,310,310,311,311,311,311,311,312,311,312,311,311,311,311,311,-29.0,12.0,46.0,0.6103515625,0.6103515625,0.0,-0.9814453125,-0.0247802734375,-0.042236328125
1731460105.721,311,310,310,310,310,310,310,311,310,310,310,311,311,310,310,310,311,310,310,310,311,311,311,310,306,310,313,311,312,311,311,311,313,312,310,-29.0,12.0,46.0,0.6103515625,0.6103515625,0.0,-0.9810791015625,-0.028564453125,-0.0390625
1731460105.731,310,310,310,310,310,311,310,310,311,311,311,312,311,311,310,310,310,310,310,311,311,311,310,310,311,310,311,312,311,311,311,310,310,312,311,-29.0,12.0,46.0,0.4882812201976776,0.4882812201976776,0.0610351525247097,-0.9810791015625,-0.028564453125,-0.0390625
1731460105.741,310,310,310,310,310,311,311,310,311,310,311,311,311,311,310,310,310,310,311,310,311,310,311,311,311,312,311,311,311,311,311,311,311,311,311,-31.0,11.0,46.0,0.4882812201976776,0.4882812201976776,0.0610351525247097,-0.98095703125,-0.02734375,-0.0343017578125
1731460105.751,306,310,311,310,310,311,310,310,310,310,310,310,311,310,310,310,311,311,310,310,310,311,310,311,310,311,313,311,311,310,311,313,313,313,311,-31.0,11.0,46.0,0.54931640625,0.4882812201976776,0.0610351525247097,-0.9808349609375,-0.0223388671875,-0.0235595703125
1731460105.761,310,310,310,310,311,311,310,310,311,310,311,311,311,310,311,311,310,310,310,310,310,311,310,310,311,312,312,310,311,311,312,312,313,312,311,-31.0,11.0,46.0,0.6103515625,0.4272460639476776,0.0,-0.9808349609375,-0.0223388671875,-0.0235595703125
1731460105.771,310,310,310,310,310,310,310,311,310,310,310,311,310,311,310,310,310,310,310,310,310,311,311,310,311,311,311,310,312,311,311,311,312,311,311,-31.0,11.0,46.0,0.6103515625,0.4272460639476776,0.0,-0.9818115234375,-0.0206298828125,-0.0189208984375
1731460105.781,310,310,310,310,310,310,310,310,310,311,310,311,311,310,310,310,310,311,310,310,311,311,311,311,310,310,311,311,312,311,311,311,311,312,311,-31.0,11.0,46.0,0.6713866591453552,0.4272460639476776,0.0,-0.980712890625,-0.0220947265625,-0.0135498046875
1731460105.791,310,310,310,310,309,310,309,311,310,306,310,311,311,311,310,309,308,310,310,310,311,311,312,310,311,311,311,311,311,310,311,311,312,313,311,-31.0,11.0,46.0,0.7324218153953552,0.54931640625,0.0610351525247097,-0.98095703125,-0.024169921875,-0.0130615234375
1731460105.805,310,310,310,310,309,310,311,310,311,311,310,312,312,311,310,310,310,310,310,310,311,310,311,311,310,311,313,311,311,311,311,310,311,312,311,-31.0,11.0,46.0,0.6713866591453552,0.6103515625,0.0,-0.98095703125,-0.024169921875,-0.0130615234375
1731460105.813,310,309,310,310,310,311,310,308,311,311,311,311,313,311,311,310,310,310,310,310,310,310,310,311,310,311,311,311,311,311,313,311,311,311,311,-31.0,11.0,46.0,0.6713866591453552,0.6103515625,0.0,-0.98046875,-0.0281982421875,-0.0140380859375
1731460105.821,310,310,310,311,310,310,310,310,310,310,312,310,311,311,311,310,311,311,310,311,311,312,311,310,311,310,311,311,313,311,313,311,311,313,310,-31.0,11.0,46.0,0.54931640625,0.54931640625,0.0,-0.98046875,-0.0281982421875,-0.0140380859375
1731460105.831,310,310,311,311,310,310,310,310,310,310,311,311,310,311,313,310,310,308,311,311,311,312,311,310,310,311,311,312,311,311,312,311,313,311,311,-31.0,11.0,46.0,0.54931640625,0.54931640625,0.0,-0.97998046875,-0.0272216796875,-0.01513671875
1731460105.841,310,311,310,310,311,311,310,310,310,311,312,311,311,311,312,310,310,311,310,310,311,310,311,311,311,311,310,310,311,311,311,310,312,313,313,-28.0,8.0,47.0,0.4882812201976776,0.4882812201976776,0.0610351525247097,-0.981201171875,-0.025634765625,-0.0159912109375
1731460105.851,310,310,310,310,310,310,310,310,310,310,311,311,312,311,311,310,310,310,311,310,311,310,311,313,313,311,311,311,311,311,311,311,313,311,313,-28.0,8.0,47.0,0.54931640625,0.6103515625,0.1220703050494194,-0.98193359375,-0.0238037109375,-0.0172119140625
1731460105.861,310,310,310,310,311,310,311,310,310,310,312,311,311,310,311,311,308,309,310,311,313,310,310,310,311,312,311,312,311,311,311,313,311,311,310,-28.0,8.0,47.0,0.54931640625,0.6103515625,0.1220703050494194,-0.9815673828125,-0.021484375,-0.019775390625
1731460105.871,310,310,311,310,310,311,310,310,311,311,311,310,310,311,310,310,310,308,311,310,312,310,310,310,311,311,310,311,311,311,311,311,310,312,312,-28.0,8.0,47.0,0.6103515625,0.6103515625,0.1220703050494194,-0.9813232421875,-0.0203857421875,-0.0223388671875
1731460105.881,310,310,310,310,310,310,311,310,310,310,311,311,311,311,311,310,311,311,310,310,311,311,311,312,310,313,311,311,311,313,311,311,311,312,311,-28.0,8.0,47.0,0.6713866591453552,0.6713866591453552,0.0610351525247097,-0.9810791015625,-0.021240234375,-0.0260009765625
