"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1731557848.112,309,310,310,310,310,309,310,307,309,309,310,309,310,310,310,308,309,305,309,309,307,304,308,308,306,309,307,305,308,309,310,309,309,310,309,14.0,51.0,-1.0,0.1220703050494194,-0.0610351525247097,0.0,-0.997802734375,-0.013916015625,-0.0240478515625
1731557848.122,309,309,309,309,309,309,309,309,309,307,308,310,309,309,309,310,310,309,309,310,307,310,309,307,305,309,307,309,307,309,309,309,309,309,308,14.0,51.0,-1.0,0.1220703050494194,-0.0610351525247097,0.0,-0.99853515625,-0.0130615234375,-0.023681640625
1731557848.132,308,309,309,310,309,309,309,309,308,309,309,309,310,309,309,309,309,309,309,309,308,305,307,308,309,309,310,309,309,309,309,310,309,308,310,14.0,51.0,-1.0,0.1220703050494194,-0.0610351525247097,0.0,-0.999267578125,-0.012451171875,-0.023193359375
1731557848.142,310,310,310,309,310,309,309,309,308,309,309,310,309,310,310,309,309,305,309,307,308,309,307,309,309,308,309,309,309,309,310,305,308,309,309,14.0,51.0,-1.0,0.1220703050494194,-0.0610351525247097,0.0,-0.9986572265625,-0.0125732421875,-0.0225830078125
1731557848.152,309,309,310,310,310,310,309,309,309,309,308,309,309,310,310,309,305,310,309,309,308,305,306,307,305,307,309,309,305,309,308,309,310,305,309,9.0,50.0,-2.0,0.1220703050494194,-0.1220703050494194,0.0,-0.99755859375,-0.0130615234375,-0.02197265625
1731557848.162,308,309,310,309,309,309,308,309,309,307,310,309,309,310,310,309,305,309,309,305,309,308,309,307,308,309,310,309,309,310,309,309,309,309,309,9.0,50.0,-2.0,0.1220703050494194,-0.1220703050494194,0.0,-0.997802734375,-0.0128173828125,-0.0218505859375
1731557848.172,309,310,311,310,310,310,309,310,309,309,309,309,309,309,310,305,308,309,309,309,308,305,309,309,305,309,309,307,308,309,309,309,310,310,310,9.0,50.0,-2.0,0.0610351525247097,-0.1220703050494194,-0.0610351525247097,-0.9986572265625,-0.0125732421875,-0.0220947265625
1731557848.182,309,308,305,309,309,309,309,308,309,309,311,309,309,310,310,309,309,308,308,309,305,306,308,307,307,308,309,307,308,310,309,308,309,309,310,9.0,50.0,-2.0,0.1220703050494194,-0.1220703050494194,-0.0610351525247097,-0.9989013671875,-0.013427734375,-0.0216064453125
1731557848.192,309,309,310,310,309,309,309,308,309,308,309,310,309,308,310,309,309,309,310,308,309,307,307,305,308,308,310,309,309,309,310,310,310,310,309,9.0,50.0,-2.0,0.1220703050494194,-0.1220703050494194,-0.0610351525247097,-0.9981689453125,-0.014404296875,-0.0206298828125
1731557848.202,309,310,310,309,310,310,305,309,309,308,309,308,309,308,310,309,309,308,305,309,305,305,308,307,308,309,308,308,308,308,309,308,310,308,309,9.0,50.0,-2.0,0.1220703050494194,-0.0610351525247097,-0.0610351525247097,-0.9981689453125,-0.014892578125,-0.0205078125
